specObjID,plateid,mjd,fiberid,ra,dec,z,sn_median,lgm_tot_p50
2.11E+18,1875,54453,517,131.8696,62.2431,0.1199112,12.94719,10.47881
7.06E+17,627,52144,301,247.4883,46.08313,0.1075352,13.62551,10.55741
3.24E+17,288,52000,465,184.8307,0.6969265,0.09943674,9.869636,10.13954
2.65E+18,2353,53794,157,157.8435,27.14546,0.08346113,7.397435,9.766933
2.98E+18,2643,54208,156,180.9731,22.32693,0.06475754,11.62646,9.937729
2.03E+18,1802,53885,311,203.0607,9.474785,0.1250608,12.07969,10.22946
8.80E+17,782,52320,79,195.7317,62.31998,0.09867387,12.83572,10.16274
1.88E+18,1672,53460,275,213.3833,48.2548,0.1138474,9.991952,10.72596
7.33E+17,651,52141,6,3.030704,-11.20136,0.06259714,7.051028,10.02974
3.07E+17,273,51957,12,159.2078,-0.631444,0.06355976,6.598258,10.06943
2.98E+18,2647,54495,179,188.418,21.84123,0.1015177,15.22121,10.56233
2.66E+18,2360,53728,22,142.8892,17.99321,0.1765335,12.58829,10.61888
2.93E+18,2602,54149,181,194.1037,16.71281,0.08688726,11.772,10.06382
2.65E+18,2353,53794,180,157.5463,26.76029,0.08476046,7.012205,9.895589
2.98E+18,2649,54212,109,194.2896,21.87001,0.1381345,10.98937,10.25266
1.55E+18,1376,53089,282,199.2498,43.03666,0.08214099,10.22062,10.52231
1.77E+18,1572,53177,49,248.2965,22.6376,0.03627064,7.432877,9.24534
2.79E+18,2479,54174,605,162.4695,19.26692,0.09949828,18.4782,11.02816
1.38E+18,1224,52765,461,174.4713,10.47118,0.1298053,10.35545,10.31725
3.37E+17,299,51671,425,205.2097,0.518224,0.0769005,19.00221,10.09158
1.82E+18,1618,53116,469,171.7007,7.845752,0.1333164,12.48471,10.33469
2.91E+18,2583,54095,285,146.7973,15.63695,0.1302064,13.06548,10.32521
3.11E+18,2761,54534,512,218.6332,17.17153,0.04982618,13.71041,9.014918
1.78E+18,1577,53495,374,242.199,29.33214,0.0467204,8.47588,9.25152
6.00E+17,533,51994,266,213.3194,1.714608,0.1386665,6.560544,10.43282
2.22E+18,1973,53432,363,157.2915,37.71906,0.07588248,5.960339,10.03811
3.55E+17,315,51663,132,234.5286,-0.6802598,0.1167431,20.52822,11.08854
8.24E+17,732,52221,305,324.7935,10.40865,0.1843808,7.199219,11.10063
2.81E+18,2493,54115,5,170.0665,23.47293,0.09466757,11.73849,10.3942
1.56E+18,1387,53118,472,230.877,32.63699,0.07880937,20.05248,10.25098
2.74E+18,2435,53828,496,136.2875,17.10813,0.1090545,24.79825,11.13994
2.39E+18,2124,53770,409,212.3248,25.29307,0.07706071,18.15062,10.55166
5.56E+17,494,51915,44,189.1559,66.39331,0.07786903,12.23938,9.697993
5.10E+17,453,51915,405,146.1953,60.50037,0.0894769,35.32027,11.19283
6.64E+17,590,52057,71,228.4575,3.305295,0.123067,8.249342,10.38375
2.52E+18,2240,53823,359,192.8382,27.533,0.1126742,16.77699,10.48034
2.02E+18,1795,54507,599,197.7997,7.485379,0.08873545,14.64933,10.02586
2.00E+18,1775,53847,635,204.9111,14.39224,0.07846428,6.806689,9.483472
1.87E+18,1659,53224,481,248.1688,20.96622,0.04045567,5.144941,9.057536
1.10E+18,976,52413,115,258.4715,31.96217,0.06749678,17.90459,10.00354
1.00E+18,888,52339,430,114.256,28.30538,0.0458706,7.530529,9.682426
2.49E+18,2211,53786,188,166.0751,28.21727,0.06628475,8.931122,9.694876
1.56E+18,1384,53121,25,226.3804,34.62053,0.1356798,6.436489,10.04861
1.07E+18,949,52427,306,160.9874,57.99243,0.08416868,5.901718,9.979875
1.31E+18,1166,52751,575,231.8698,50.96391,0.07625113,8.154261,10.19704
2.23E+18,1979,53431,397,170.2855,32.60778,0.1218009,13.70678,9.853335
2.65E+18,2356,53786,71,160.6035,27.34535,0.0962791,14.05851,10.3973
1.77E+18,1568,53169,350,251.6668,20.29244,0.08464353,9.203909,10.15188
